arm,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,81,47.31,47.4209,0.2745,48.1348,1.0,47.172,47.684,1.0,1.0,21.1375,48.2,0.0,0.0,0.0,10368,0.0,0.0,0.0,0.0,True
conf_k4,81,57.964,58.3337,7.8815,58.5705,1.2168,52.976,62.255,1.2252,1.5059,17.2523,28.8,0.3492,1.0694,3.0342,3417,25.4008,24.6281,0.2828,0.5705,False
