bin,mean_top1,mean_accepted,n
0,0.2155448778103617,0.2727272727272727,341
1,0.3663090350877193,0.5175438596491229,342
2,0.45961346978557505,0.6023391812865497,342
3,0.5450284164222874,0.7683284457478006,341
4,0.6356360331384016,0.9327485380116959,342
5,0.7228414912280702,1.2076023391812865,342
6,0.7866053861192571,1.1788856304985338,341
7,0.8553800877192982,1.4035087719298245,342
8,0.9273112280701755,1.7456140350877194,342
9,0.9868103216374269,2.06140350877193,342
