arm,category,max_tokens,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
uno_k4,reasoning,256,9,64.671,64.6647,2.4349,65.5771,,63.296,66.906,,1.6306,15.4629,54.7,0.4444,1.312,3.2821,702,24.8908,24.0272,0.2968,0.8581,False
uno_k4,structured,256,9,64.038,62.6746,4.8174,64.9482,,57.286,66.569,,1.6516,15.6156,54.0,0.4502,1.1901,3.1736,726,24.6729,23.8792,0.2839,0.8189,False
uno_k4,technical,256,9,53.916,53.3934,2.1178,54.5633,,51.75,54.503,,1.3545,18.5477,27.8,0.2411,0.7148,2.7042,852,24.7007,23.8893,0.291,0.8327,False
ar,code,512,9,47.519,47.9664,0.7411,47.7007,,47.452,48.904,,1.0,21.0443,53.8,0.0,0.0,0.0,4608,0.0,0.0,0.0,0.0,True
ar,dialogue,512,9,47.675,47.7762,0.9566,47.9244,,46.961,48.823,,1.0,20.9754,54.3,0.0,0.0,0.0,4608,0.0,0.0,0.0,0.0,True
ar,factual,512,9,48.281,48.1706,0.8047,48.3804,,47.591,49.048,,1.0,20.7121,22.2,0.0,0.0,0.0,4608,0.0,0.0,0.0,0.0,True
ar,high_entropy,512,9,48.978,48.601,0.6813,49.1071,,48.371,49.031,,1.0,20.4172,24.6,0.0,0.0,0.0,4608,0.0,0.0,0.0,0.0,True
ar,math,512,9,48.45,48.2352,0.6825,48.5612,,47.524,48.869,,1.0,20.6398,53.4,0.0,0.0,0.0,4608,0.0,0.0,0.0,0.0,True
ar,prose,512,9,47.524,47.8583,0.925,47.6279,,47.113,49.046,,1.0,21.042,23.5,0.0,0.0,0.0,4608,0.0,0.0,0.0,0.0,True
ar,reasoning,512,9,48.059,48.1649,0.8044,48.2755,,47.688,48.941,,1.0,20.8078,54.5,0.0,0.0,0.0,4608,0.0,0.0,0.0,0.0,True
ar,structured,512,9,48.546,48.2749,0.7035,48.7972,,47.396,48.928,,1.0,20.599,54.2,0.0,0.0,0.0,4608,0.0,0.0,0.0,0.0,True
ar,technical,512,9,47.439,47.8476,0.925,47.6301,,47.238,48.907,,1.0,21.0799,48.6,0.0,0.0,0.0,4608,0.0,0.0,0.0,0.0,True
uno_k4,code,512,9,65.364,65.8854,1.7702,65.8199,,64.889,67.078,,1.6678,15.2988,54.0,0.451,1.3668,3.3537,1374,25.381,24.5815,0.2876,0.8238,False
uno_k4,dialogue,512,9,71.951,69.9458,6.3881,72.5079,,62.829,74.26,,1.8092,13.8984,47.9,0.5437,1.5275,3.5229,1308,24.8886,24.1364,0.2921,0.8819,False
uno_k4,factual,512,9,66.267,68.0429,5.3694,66.4598,,64.015,74.067,,1.657,15.0906,22.2,0.4416,1.433,3.4286,1344,24.9055,24.0641,0.2851,0.8428,False
uno_k4,high_entropy,512,9,80.493,78.7991,15.6124,80.8017,,60.954,95.984,,2.0078,12.4234,24.5,0.6772,1.8404,3.8304,1203,24.7826,23.9916,0.2804,0.8311,False
uno_k4,math,512,9,74.004,72.552,5.4644,74.2556,,66.645,76.907,,1.8484,13.5129,47.6,0.57,1.6595,3.6571,1260,24.856,24.0808,0.2796,0.8423,False
uno_k4,prose,512,9,64.284,65.9813,10.8133,64.5145,,54.804,77.999,,1.6463,15.5561,22.9,0.4409,1.2906,3.2821,1404,25.4562,24.5875,0.2856,0.8429,False
uno_k4,reasoning,512,9,68.665,69.0634,2.3166,69.1995,,67.555,71.084,,1.7239,14.5635,53.9,0.4865,1.4977,3.4909,1320,24.8561,23.9956,0.2853,0.8403,False
uno_k4,structured,512,9,57.951,61.2662,6.801,58.1329,,56.064,68.834,,1.4755,17.2559,54.2,0.3218,1.0822,3.0782,1497,24.8533,24.0954,0.2901,0.8339,False
uno_k4,technical,512,9,52.395,54.4464,4.2437,52.5511,,51.425,59.162,,1.3438,19.0857,28.9,0.2368,0.7698,2.7626,1668,25.4962,24.6277,0.2911,0.8417,False
