arm,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
adapt_entropy,48,57.5965,57.9309,6.4009,58.6393,1.2221,52.482,62.295,1.213,1.5422,17.3625,38.25,0.2227,1.113,3.0843,1992,25.84,25.7788,0.3104,0.6333,False
adapt_ev,48,53.7815,55.0174,5.2566,55.0823,1.148,50.864,58.876,1.1327,1.3619,18.5934,38.25,0.259,0.8575,2.8326,2169,25.1943,24.4616,0.2973,0.623,False
adapt_survival,48,53.623,53.842,2.7694,54.7151,1.1404,51.471,55.898,1.1293,1.2929,18.6488,38.3,0.6224,0.6296,2.6156,2349,24.6955,22.5547,0.2729,0.6062,False
ar,48,47.4815,47.6521,0.87,47.9805,1.0,46.936,48.497,1.0,1.0,21.0609,49.8,0.0,0.0,0.0,6144,0.0,0.0,0.0,0.0,True
uno_k2,48,53.7965,53.912,2.7674,54.7247,1.1406,51.684,56.012,1.133,1.2929,18.5887,38.35,0.6224,0.6296,2.6156,2349,24.6641,22.4483,0.2755,0.8529,False
uno_k4,48,57.677,59.0878,6.398,58.9531,1.2287,53.107,64.415,1.2147,1.4886,17.3391,38.3,0.3374,1.0471,3.0162,2037,25.3738,24.5673,0.3111,0.8762,False
uno_k8,48,53.956,55.4088,5.9244,55.1998,1.1505,50.426,60.512,1.1364,1.5068,18.5336,38.05,0.1533,1.1006,3.0751,1998,26.7814,27.5755,0.3146,0.9117,False
