arm,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,81,47.344,47.473,0.2929,48.1982,1.0,47.23,47.76,1.0,1.0,21.1219,48.5,0.0,0.0,0.0,10368,0.0,0.0,0.0,0.0,True
ngram2_k4,81,56.75,65.4902,21.4992,57.322,1.1893,49.722,72.87,1.1987,1.2549,17.6211,28.5,0.4815,0.3856,1.3752,7539,0.0,21.5337,0.1876,0.4974,False
ngram3_k4,81,54.567,61.7618,20.7869,55.0964,1.1431,47.714,66.657,1.1526,1.1963,18.3258,28.6,0.5769,0.2956,1.2881,8049,0.0,21.4021,0.1793,0.4974,False
refine1_k4,81,59.059,59.4252,8.0522,59.6848,1.2383,53.935,63.397,1.2474,1.5059,16.932,28.7,0.3492,1.0694,3.0342,3417,25.3669,24.5453,0.2851,0.5667,False
refine2_k4,81,51.714,51.3358,4.4822,52.279,1.0847,48.489,53.352,1.0923,1.3196,19.3367,28.8,0.6979,2.0115,3.9679,2613,50.735,24.5781,0.2736,0.5797,False
refine4_k4,81,36.722,36.5379,1.2858,37.0338,0.7684,36.375,37.745,0.7756,0.9412,27.2312,28.7,0.9383,2.7842,4.7213,2196,101.4079,24.5826,0.2525,0.5904,False
uno_k4,81,59.093,59.4592,8.0487,59.721,1.2391,53.963,63.474,1.2482,1.5059,16.9227,28.7,0.3492,1.0694,3.0342,3417,25.385,24.5304,0.288,0.8217,False
