arm,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,48,47.2305,47.3711,0.2718,48.1384,1.0,47.161,47.676,1.0,1.0,21.1727,50.35,0.0,0.0,0.0,6144,0.0,0.0,0.0,0.0,True
conf_k4,48,56.9425,57.5989,6.1442,57.9026,1.2028,50.754,62.752,1.2056,1.4886,17.5672,38.9,0.3374,1.0471,3.0162,2037,25.4061,24.6261,0.2838,0.5701,False
