arm,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,48,48.4415,48.1281,0.8326,49.3504,1.0,47.298,48.709,1.0,1.0,20.6438,50.65,0.0,0.0,0.0,6144,0.0,0.0,0.0,0.0,True
uno_k1,48,39.438,39.2227,0.6629,40.0639,0.8118,38.734,39.812,0.8141,0.9922,25.3562,38.4,0.0,0.0,2.0,3072,27.9921,20.9066,0.2389,0.7801,False
uno_k16,48,24.279,25.0931,3.5497,24.5407,0.4973,21.924,27.761,0.5012,1.5257,41.2039,38.1,0.0741,1.1303,3.103,1980,61.9903,60.9375,0.3092,0.9709,False
uno_k2,48,54.759,54.838,2.7384,55.6692,1.128,52.693,56.722,1.1304,1.2929,18.2621,38.0,0.6224,0.6296,2.6156,2349,23.8421,21.7208,0.2591,0.79,False
uno_k4,48,59.5605,59.8113,6.4424,60.6095,1.2281,53.136,65.165,1.2295,1.4886,16.7914,38.25,0.3374,1.0471,3.0162,2037,24.7002,23.9406,0.2857,0.8286,False
uno_k8,48,54.7645,56.327,6.012,55.9846,1.1344,51.092,61.358,1.1305,1.5068,18.2598,38.4,0.1533,1.1006,3.0751,1998,25.8734,26.752,0.2893,0.8544,False
