arm,accepted,probability
uno_k4,0,0.40211
uno_k4,1,0.27392
uno_k4,2,0.17647
uno_k4,3,0.1475
uno_k4,0,0.35569
uno_k4,1,0.26735
uno_k4,2,0.18316
uno_k4,3,0.1938
uno_k4,0,0.30247
uno_k4,1,0.26733
uno_k4,2,0.20068
uno_k4,3,0.22952
