arm,context_length,j,p_survive
uno_k4,,1,0.59789
uno_k4,,2,0.32397
uno_k4,,3,0.1475
uno_k4,,4,0.0
uno_k4,,1,0.64431
uno_k4,,2,0.37697
uno_k4,,3,0.1938
uno_k4,,4,0.0
uno_k4,,1,0.69753
uno_k4,,2,0.4302
uno_k4,,3,0.22952
uno_k4,,4,0.0
