arm,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,81,48.456,48.1424,0.8692,49.3161,1.0,47.38,48.833,1.0,1.0,20.6375,47.4,0.0,0.0,0.0,10368,0.0,0.0,0.0,0.0,True
uno_k1,81,39.437,39.2157,0.6888,40.0025,0.8111,38.699,39.795,0.8139,0.9922,25.357,28.0,0.0,0.0,2.0,5184,28.0578,20.9305,0.2392,0.7807,False
uno_k16,81,25.591,26.9354,7.9721,25.7976,0.5231,22.721,28.936,0.5281,1.5802,39.0758,27.8,0.0833,1.2736,3.2269,3213,62.0737,60.9448,0.3093,0.9657,False
uno_k2,81,54.69,54.5666,3.0331,55.6159,1.1277,52.562,56.332,1.1287,1.2929,18.2852,27.8,0.6327,0.6202,2.6044,3981,23.848,21.7666,0.2604,0.7931,False
uno_k4,81,60.323,60.4963,8.16,60.964,1.2362,55.025,64.629,1.2449,1.5059,16.5773,27.8,0.3492,1.0694,3.0342,3417,24.7097,23.9794,0.2889,0.8339,False
uno_k8,81,54.679,58.493,13.6247,55.8318,1.1321,51.421,61.358,1.1284,1.4713,18.2883,28.0,0.1429,1.1573,3.1248,3318,25.8838,26.7846,0.2898,0.8548,False
