arm,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,48,47.299,47.4261,0.2943,48.2009,1.0,47.217,47.76,1.0,1.0,21.1418,51.85,0.0,0.0,0.0,6144,0.0,0.0,0.0,0.0,True
ngram2_k4,48,50.958,53.3155,6.3126,51.8105,1.0749,48.365,60.34,1.0774,1.1432,19.6242,38.55,0.3317,0.1898,1.1852,5184,0.0,21.4393,0.1811,0.4961,False
ngram3_k4,48,48.303,50.7746,5.4304,49.0356,1.0173,46.79,55.642,1.0212,1.0716,20.7031,38.75,0.4551,0.1231,1.1204,5484,0.0,21.2653,0.1742,0.4965,False
refine1_k4,48,57.7655,58.654,6.3093,58.7873,1.2196,51.563,63.934,1.2213,1.4886,17.3156,38.9,0.3374,1.0471,3.0162,2037,25.3749,24.5429,0.2873,0.5639,False
refine2_k4,48,52.4715,50.9931,4.0066,53.7059,1.1142,47.123,53.352,1.1094,1.3617,19.0578,39.0,0.715,2.0097,3.9537,1554,50.7532,24.5756,0.2739,0.5797,False
refine4_k4,48,36.5815,36.227,1.3258,36.9932,0.7675,35.196,36.872,0.7734,0.9412,27.3363,38.85,0.9383,2.7506,4.6865,1311,101.3934,24.588,0.2521,0.5846,False
uno_k4,48,58.354,58.6846,6.3,59.4171,1.2327,51.722,63.754,1.2337,1.4886,17.1391,38.9,0.3374,1.0471,3.0162,2037,25.3929,24.539,0.2881,0.8222,False
