arm,checkpoint,K,ceiling_speedup,actual_speedup,actual_per_slot_accept,target_speedup,reachable,required_per_slot_accept,required_mean_committed,required_full_block_rate,required_tpf
control,untrained,4,2.0262,0.8258,0.0459,1.1,True,0.4382,2.7144,0.0842,1.3572
control,untrained,4,2.0262,0.8258,0.0459,1.2,True,0.5305,2.9612,0.1493,1.4806
control,untrained,4,2.0262,0.8258,0.0459,1.3,True,0.6097,3.208,0.2266,1.604
control,untrained,4,2.0262,0.8258,0.0459,1.5,True,0.7421,3.7015,0.4087,1.8507
control,untrained,4,2.0262,0.8258,0.0459,1.75,True,0.8766,4.3184,0.6735,2.1592
control,untrained,4,2.0262,0.8258,0.0459,2.0,True,0.9891,4.9353,0.9678,2.4677
control,untrained,8,3.2398,0.7453,0.0257,1.1,True,0.516,3.0557,0.0097,1.5279
control,untrained,8,3.2398,0.7453,0.0257,1.2,True,0.5767,3.3335,0.0212,1.6668
control,untrained,8,3.2398,0.7453,0.0257,1.3,True,0.6261,3.6114,0.0377,1.8057
control,untrained,8,3.2398,0.7453,0.0257,1.5,True,0.7031,4.1669,0.0849,2.0835
control,untrained,8,3.2398,0.7453,0.0257,1.75,True,0.7746,4.8614,0.1673,2.4307
control,untrained,8,3.2398,0.7453,0.0257,2.0,True,0.8299,5.5559,0.2711,2.7779
B,step-12800,2,1.3076,1.0703,0.6201,1.1,True,0.5238,2.5238,0.5238,1.2619
B,step-12800,2,1.3076,1.0703,0.6201,1.2,True,0.7532,2.7532,0.7532,1.3766
B,step-12800,2,1.3076,1.0703,0.6201,1.3,True,0.9827,2.9827,0.9827,1.4913
B,step-12800,2,1.3076,1.0703,0.6201,1.5,False,,,,
B,step-12800,2,1.3076,1.0703,0.6201,1.75,False,,,,
B,step-12800,2,1.3076,1.0703,0.6201,2.0,False,,,,
B,step-12800,4,2.032,1.136,0.3226,1.1,True,0.4351,2.7067,0.0824,1.3534
