session,checkpoint,arm,step,K_train,curriculum,training_steps,training_tokens,supervised_positions,training_seconds,seconds_per_step,K_decode,is_primary,val_tv,tf_agree_specs,tf_mean_accepted_prefix,tf_full_block_rate,seed_row_agreement,free_acceptance_rate,free_mean_accepted_specs,free_full_block_rate,tpf,forwards_per_token,proposal_ms,verify_ms,commit_ms,overhead_ms,cycle_ms,tok_s_median,tok_s_mean,speedup_vs_ar,predicted_tok_s,cost_model_error_pct,ar_agreement,ar_baseline_tok_s,peak_memory_gb,backbone_unchanged,agree_plus_1,agree_plus_2,agree_plus_3,agree_plus_4,agree_plus_5,agree_plus_6,agree_plus_7,agree_plus_8,p_accept_0,p_accept_1,p_accept_2,p_accept_3,p_accept_4,p_accept_5,p_accept_6,p_accept_7,p_accept_8,survive_ge_1,survive_ge_2,survive_ge_3,draft_q1_accept,draft_q2_accept,draft_q3_accept,draft_q4_accept,draft_q5_accept,draft_pearson_gap,draft_pearson_entropy,delta_tok_s_vs_control,delta_tok_s_pct_vs_control,delta_tpf_vs_control,delta_prefix_vs_control,prefix_gain_per_training_hour,tok_s_gain_per_training_hour,survive_ge_4,survive_ge_5,survive_ge_6,survive_ge_7
2026-09-13T16:43:32,D_curr@16000,D_curr,16000,4/6/8,"4,6,8",3200,3251200,64000,4529.35,1.4154,4,True,0.95672,0.32161,0.78516,0.10156,1.0,0.34278,1.02834,0.09717,1.41454,0.70694,24.1583,23.6664,0.2764,0.7881,48.8893,56.249,57.685,1.1279,59.261,5.354,0.8528,49.872,11.629,True,1.0,0.48828,0.28125,0.19531,,,,,0.35223,0.36437,0.18623,0.09717,,,,,,0.64777,0.2834,0.09717,0.42484,0.34641,0.26144,0.30719,0.26923,-0.13168,-0.12814,,,,,,,,,,
2026-09-13T17:19:09,D_curr@16000,D_curr,16000,4/6/8,"4,6,8",3200,3251200,64000,4529.35,1.4154,4,True,0.95672,0.32161,0.78516,0.10156,1.0,0.34278,1.02834,0.09717,1.41454,0.70694,24.1551,23.677,0.2686,0.7742,48.8749,56.205,57.693,1.135,59.272,5.456,0.8528,49.518,11.629,True,1.0,0.48828,0.28125,0.19531,,,,,0.35223,0.36437,0.18623,0.09717,,,,,,0.64777,0.2834,0.09717,0.42484,0.34641,0.26144,0.30719,0.26923,-0.13168,-0.12814,,,,,,,,,,
2026-09-13T17:19:09,start@12800,start,12800,,,,,,,,4,True,0.96724,0.31771,0.75781,0.07031,1.0,0.32262,0.96787,0.07229,1.40351,0.7125,24.1567,23.6738,0.2694,0.771,48.871,57.362,57.212,1.1584,58.147,1.369,0.8528,49.518,11.594,True,1.0,0.48438,0.28906,0.17969,,,,,0.37349,0.35743,0.19679,0.07229,,,,,,0.62651,0.26908,0.07229,0.37908,0.30065,0.32026,0.3268,0.23718,-0.09954,-0.14992,,,,,,,,,,
2026-09-13T17:19:09,untrained,untrained,0,,,,,,,,4,True,1.40509,0.04297,0.06641,0.0,1.0,0.04594,0.13783,0.0,1.033,0.96806,24.2738,23.7911,0.2718,0.7741,49.1109,41.559,41.755,0.8393,42.19,1.517,0.8528,49.518,11.039,True,1.0,0.06641,0.03906,0.02344,,,,,0.87097,0.12023,0.0088,0.0,,,,,,0.12903,0.0088,0.0,0.20261,0.02614,0.00654,0.0,0.0,-0.52242,-0.09317,,,,,,,,,,
2026-09-13T17:19:09,A_k4@16000,A_k4,16000,4,,3200,3251200,38400,4551.01,1.4222,6,False,1.22734,0.21484,0.71875,0.01172,1.0,0.20163,1.00813,0.0122,1.42012,0.70417,24.7117,24.8154,0.2813,0.7982,50.6066,57.032,56.005,1.1517,56.976,-0.099,0.9167,49.518,11.629,True,1.0,0.46094,0.24219,0.16406,0.12891,0.07812,,,0.39837,0.34553,0.15447,0.06504,0.02439,0.0122,,,,0.60163,0.2561,0.10163,0.36601,0.30065,0.26797,0.28758,0.30769,-0.07107,-0.17019,,,,,,,0.03659,0.0122,,
2026-09-13T17:19:09,B_k6@16000,B_k6,16000,6,,3200,3251200,64000,4562.41,1.4258,6,False,1.2105,0.22266,0.68359,0.00391,1.0,0.20488,1.02439,0.00813,1.42012,0.70417,24.5761,24.6668,0.2632,0.7593,50.2655,56.218,56.563,1.1353,57.642,2.533,0.9167,49.518,11.629,True,1.0,0.42969,0.28516,0.15625,0.14453,0.09766,,,0.37805,0.3374,0.19919,0.06098,0.01626,0.00813,,,,0.62195,0.28455,0.08537,0.4183,0.35948,0.28105,0.28758,0.28846,-0.11596,-0.18446,,,,,,,0.02439,0.00813,,
2026-09-13T17:19:09,C_k8@16000,C_k8,16000,8,,3200,3251200,89600,4552.14,1.4225,6,False,1.22173,0.21406,0.70312,0.0,1.0,0.2123,1.06148,0.0123,1.43141,0.69861,24.6818,24.7946,0.2788,0.8014,50.5565,57.637,56.649,1.164,57.991,0.614,0.9167,49.518,11.629,True,1.0,0.45312,0.24219,0.15234,0.14844,0.07422,,,0.38115,0.31557,0.21311,0.05328,0.02459,0.0123,,,,0.61885,0.30328,0.09016,0.42484,0.34641,0.26797,0.30065,0.26282,-0.14649,-0.14484,,,,,,,0.03689,0.0123,,
2026-09-13T17:19:09,D_curr@16000,D_curr,16000,4/6/8,"4,6,8",3200,3251200,64000,4529.35,1.4154,6,False,1.20875,0.22109,0.73828,0.0,1.0,0.2082,1.04098,0.01639,1.43141,0.69861,24.6824,24.7892,0.278,0.7967,50.5463,57.268,56.715,1.1565,57.642,0.653,0.9167,49.518,11.629,True,1.0,0.46484,0.26172,0.14844,0.14844,0.08203,,,0.35656,0.39754,0.15164,0.05328,0.02459,0.01639,,,,0.64344,0.2459,0.09426,0.42484,0.34641,0.26144,0.30719,0.26923,-0.13168,-0.12814,,,,,,,0.04098,0.01639,,
2026-09-13T17:19:09,start@12800,start,12800,,,,,,,,6,False,1.23024,0.21094,0.67578,0.00391,1.0,0.21152,1.05761,0.01646,1.43713,0.69583,24.8133,24.9196,0.2771,0.8086,50.8185,56.8,56.245,1.147,57.595,1.4,0.9167,49.518,11.594,True,1.0,0.4375,0.26562,0.15234,0.13281,0.06641,,,0.36214,0.36214,0.19342,0.03704,0.02881,0.01646,,,,0.63786,0.27572,0.0823,0.37908,0.30065,0.32026,0.3268,0.23718,-0.09954,-0.14992,,,,,,,0.04527,0.01646,,
2026-09-13T17:19:09,untrained,untrained,0,,,,,,,,6,False,1.57537,0.03594,0.09375,0.0,1.0,0.03323,0.16617,0.0,1.04499,0.95694,24.7355,24.9102,0.2775,0.7948,50.718,40.942,40.934,0.8268,41.419,1.165,0.9167,49.518,11.039,True,1.0,0.09375,0.03516,0.01953,0.02344,0.00781,,,0.8368,0.16024,0.00297,0.0,0.0,0.0,,,,0.1632,0.00297,0.0,0.20261,0.02614,0.00654,0.0,0.0,-0.52242,-0.09317,,,,,,,0.0,0.0,,
2026-09-13T17:19:09,A_k4@16000,A_k4,16000,4,,3200,3251200,38400,4551.01,1.4222,8,False,1.34431,0.17746,0.76172,0.00391,1.0,0.15714,1.1,0.00417,1.45455,0.6875,25.8388,27.0073,0.2842,0.8328,53.9631,54.538,54.149,1.1014,55.113,1.054,0.8597,49.518,11.629,True,1.0,0.46484,0.25,0.16016,0.11719,0.10156,0.08984,0.05859,0.375,0.31667,0.20833,0.0625,0.02083,0.00833,0.00417,0.00417,,0.625,0.30833,0.1,0.36601,0.30065,0.26797,0.28758,0.30769,-0.07107,-0.17019,,,,,,,0.0375,0.01667,0.00833,0.00417
2026-09-13T17:19:09,B_k6@16000,B_k6,16000,6,,3200,3251200,64000,4562.41,1.4258,8,False,1.31745,0.19196,0.78906,0.0,1.0,0.16131,1.12917,0.00417,1.45455,0.6875,25.74,26.8838,0.274,0.814,53.7118,54.198,54.058,1.0945,55.876,3.096,0.8597,49.518,11.629,True,1.0,0.48047,0.27734,0.20703,0.10156,0.12891,0.10547,0.04297,0.35833,0.31667,0.225,0.05833,0.02917,0.00833,0.0,0.00417,,0.64167,0.325,0.1,0.4183,0.35948,0.28105,0.28758,0.28846,-0.11596,-0.18446,,,,,,,0.04167,0.0125,0.00417,0.00417
2026-09-13T17:19:09,C_k8@16000,C_k8,16000,8,,3200,3251200,89600,4552.14,1.4225,8,False,1.31886,0.18583,0.77734,0.0,1.0,0.15939,1.1157,0.00413,1.44289,0.69306,25.717,26.8446,0.2729,0.8069,53.6414,56.219,53.84,1.1353,55.713,-0.901,0.8597,49.518,11.629,True,1.0,0.46484,0.27734,0.19531,0.10938,0.10938,0.09375,0.05078,0.40083,0.29752,0.17769,0.06198,0.04545,0.00826,0.00413,0.00413,,0.59917,0.30165,0.12397,0.42484,0.34641,0.26797,0.30065,0.26282,-0.14649,-0.14484,,,,,,,0.06198,0.01653,0.00826,0.00413
2026-09-13T17:19:09,D_curr@16000,D_curr,16000,4/6/8,"4,6,8",3200,3251200,64000,4529.35,1.4154,8,False,1.31116,0.18862,0.74609,0.0,1.0,0.15038,1.05263,0.00405,1.41454,0.70694,25.7349,26.9026,0.2797,0.8133,53.7305,51.157,52.614,1.0331,54.526,6.585,0.8597,49.518,11.629,True,1.0,0.47656,0.26172,0.19531,0.11328,0.11328,0.08984,0.07031,0.39271,0.31579,0.19838,0.04858,0.03644,0.00405,0.0,0.00405,,0.60729,0.2915,0.09312,0.42484,0.34641,0.26144,0.30719,0.26923,-0.13168,-0.12814,,,,,,,0.04453,0.0081,0.00405,0.00405
2026-09-13T17:19:09,start@12800,start,12800,,,,,,,,8,False,1.33397,0.18192,0.78125,0.0,1.0,0.15531,1.08714,0.0,1.44869,0.69028,25.8777,27.1342,0.2835,0.8227,54.118,54.221,53.539,1.095,54.675,0.838,0.8597,49.518,11.594,True,1.0,0.46875,0.27344,0.16797,0.12891,0.09375,0.09375,0.04688,0.35685,0.34855,0.20332,0.04564,0.0332,0.01245,0.0,0.0,,0.64315,0.29461,0.09129,0.37908,0.30065,0.32026,0.3268,0.23718,-0.09954,-0.14992,,,,,,,0.04564,0.01245,0.0,0.0
2026-09-13T17:19:09,untrained,untrained,0,,,,,,,,8,False,1.65829,0.03404,0.09375,0.0,1.0,0.02566,0.17964,0.0,1.05417,0.94861,25.8766,27.2121,0.2811,0.8261,54.1959,38.408,38.659,0.7756,39.016,1.583,0.8208,49.518,11.039,True,1.0,0.08594,0.05078,0.01953,0.02344,0.02344,0.01562,0.01953,0.82635,0.16766,0.00599,0.0,0.0,0.0,0.0,0.0,,0.17365,0.00599,0.0,0.20261,0.02614,0.00654,0.0,0.0,-0.52242,-0.09317,,,,,,,0.0,0.0,0.0,0.0
